report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-01-26,2009098.33619
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-03-22,2071250.995736
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-01-24,2253510.284899
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-03-21,2287060.099496
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-01-31,2509788.529016
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-01-26,3614409.354535
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-03-22,3682392.531552
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2025-01-24,3913968.873477
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2025-03-21,3985659.551324
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2026-01-31,4388307.777559
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2024-01-26,717262.458437
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2024-03-22,733123.356073
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2025-01-24,786045.977257
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2025-03-21,798472.66076
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2026-01-31,1031291.398699
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2024-01-26,294398.357935
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2024-03-22,306424.853962
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2025-01-24,348614.49414
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2025-03-21,363245.019249
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2026-01-31,426210.574042
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2024-01-26,2602748.538163
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2024-03-22,2642844.321517
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2025-01-24,2779308.40208
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2025-03-21,2823941.871316
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2026-01-31,2930805.804818
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2024-01-26,4413917.309734
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2024-03-22,4547236.765609
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2025-01-24,4956419.412659
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2025-03-21,5093565.107574
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2026-01-31,5722969.386434
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2024-01-26,229245.519436
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2024-03-22,232379.233542
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2025-01-24,256722.100266
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2025-03-21,261574.761822
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2026-01-31,267665.467105
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2024-01-26,937242.20701
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2024-03-22,985814.5735490001
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2025-01-24,1081788.571738
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2025-03-21,1123459.106523
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2026-01-31,1235949.0857960002
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2024-01-26,26311.61461
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2024-03-22,25917.345642
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2025-01-24,33728.476663
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2025-03-21,32915.202169
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2026-01-31,40694.804478
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2024-01-26,77263.269059
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2024-03-22,77815.892939
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2025-01-24,81753.210904
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2025-03-21,83366.436558
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2026-01-31,97417.581234
2026-02-27,Statement 1,3.4,Shipping,2,False,3,Statement 1,2024-01-26,7104.155535
2026-02-27,Statement 1,3.4,Shipping,2,False,3,Statement 1,2024-03-22,7066.78
2026-02-27,Statement 1,3.4,Shipping,2,False,3,Statement 1,2025-01-24,7180.04
2026-02-27,Statement 1,3.4,Shipping,2,False,3,Statement 1,2025-03-21,7304.35
2026-02-27,Statement 1,3.4,Shipping,2,False,3,Statement 1,2026-01-31,10373.17
2026-02-27,Statement 1,3.5,Aviation,2,False,3,Statement 1,2024-01-26,44404.64971
2026-02-27,Statement 1,3.5,Aviation,2,False,3,Statement 1,2024-03-22,43283.01
2026-02-27,Statement 1,3.5,Aviation,2,False,3,Statement 1,2025-01-24,44823.34
2026-02-27,Statement 1,3.5,Aviation,2,False,3,Statement 1,2025-03-21,46071.8
2026-02-27,Statement 1,3.5,Aviation,2,False,3,Statement 1,2026-01-31,49613.17
2026-02-27,Statement 1,3.6,Professional Services,2,False,3,Statement 1,2024-01-26,161391.209466
2026-02-27,Statement 1,3.6,Professional Services,2,False,3,Statement 1,2024-03-22,167234.647086
2026-02-27,Statement 1,3.6,Professional Services,2,False,3,Statement 1,2025-01-24,190863.111841
2026-02-27,Statement 1,3.6,Professional Services,2,False,3,Statement 1,2025-03-21,195956.642789
2026-02-27,Statement 1,3.6,Professional Services,2,False,3,Statement 1,2026-01-31,209053.746799
2026-02-27,Statement 1,3.7,Trade,2,False,3,Statement 1,2024-01-26,984726.180606
2026-02-27,Statement 1,3.7,Trade,2,False,3,Statement 1,2024-03-22,1024407.716289
2026-02-27,Statement 1,3.7,Trade,2,False,3,Statement 1,2025-01-24,1127156.363535
2026-02-27,Statement 1,3.7,Trade,2,False,3,Statement 1,2025-03-21,1184550.226859
2026-02-27,Statement 1,3.7,Trade,2,False,3,Statement 1,2026-01-31,1309115.360266
2026-02-27,Statement 1,3.7.1,Wholesale Trade,3,False,3.7,Statement 1,2024-01-26,515587.699659
2026-02-27,Statement 1,3.7.1,Wholesale Trade,3,False,3.7,Statement 1,2024-03-22,537188.975284
2026-02-27,Statement 1,3.7.1,Wholesale Trade,3,False,3.7,Statement 1,2025-01-24,608691.612733
2026-02-27,Statement 1,3.7.1,Wholesale Trade,3,False,3.7,Statement 1,2025-03-21,646098.731744
2026-02-27,Statement 1,3.7.1,Wholesale Trade,3,False,3.7,Statement 1,2026-01-31,723122.343866
2026-02-27,Statement 1,3.7.2,Retail Trade,3,False,3.7,Statement 1,2024-01-26,469138.480947
2026-02-27,Statement 1,3.7.2,Retail Trade,3,False,3.7,Statement 1,2024-03-22,487218.741004
2026-02-27,Statement 1,3.7.2,Retail Trade,3,False,3.7,Statement 1,2025-01-24,518464.750802
2026-02-27,Statement 1,3.7.2,Retail Trade,3,False,3.7,Statement 1,2025-03-21,538451.495115
2026-02-27,Statement 1,3.7.2,Retail Trade,3,False,3.7,Statement 1,2026-01-31,585993.0164
2026-02-27,Statement 1,3.8,Commercial Real Estate,2,False,3,Statement 1,2024-01-26,450810.92745
2026-02-27,Statement 1,3.8,Commercial Real Estate,2,False,3,Statement 1,2024-03-22,460263.097704
2026-02-27,Statement 1,3.8,Commercial Real Estate,2,False,3,Statement 1,2025-01-24,514506.43005
2026-02-27,Statement 1,3.8,Commercial Real Estate,2,False,3,Statement 1,2025-03-21,523264.418947
2026-02-27,Statement 1,3.8,Commercial Real Estate,2,False,3,Statement 1,2026-01-31,597880.218455
2026-02-27,Statement 1,3.9,Non-Banking Financial Companies (NBFCs),2,False,3,Statement 1,2024-01-26,1495417.5768539999
2026-02-27,Statement 1,3.9,Non-Banking Financial Companies (NBFCs),2,False,3,Statement 1,2024-03-22,1523054.468859
2026-02-27,Statement 1,3.9,Non-Banking Financial Companies (NBFCs),2,False,3,Statement 1,2025-01-24,1617897.767662
2026-02-27,Statement 1,3.9,Non-Banking Financial Companies (NBFCs),2,False,3,Statement 1,2025-03-21,1635102.1619060002
2026-02-27,Statement 1,3.9,Non-Banking Financial Companies (NBFCs),2,False,3,Statement 1,2026-01-31,1905206.7822989998
2026-02-27,Statement 1,3.9.1,Housing Finance Companies (HFCs),3,False,3.9,Statement 1,2024-01-26,334241.435015
2026-02-27,Statement 1,3.9.1,Housing Finance Companies (HFCs),3,False,3.9,Statement 1,2024-03-22,321364.514275
2026-02-27,Statement 1,3.9.1,Housing Finance Companies (HFCs),3,False,3.9,Statement 1,2025-01-24,325681.86
2026-02-27,Statement 1,3.9.1,Housing Finance Companies (HFCs),3,False,3.9,Statement 1,2025-03-21,323181.87
2026-02-27,Statement 1,3.9.1,Housing Finance Companies (HFCs),3,False,3.9,Statement 1,2026-01-31,353406.39
2026-02-27,Statement 1,3.9.2,Public Financial Institutions (PFIs),3,False,3.9,Statement 1,2024-01-26,204974.367036
2026-02-27,Statement 1,3.9.2,Public Financial Institutions (PFIs),3,False,3.9,Statement 1,2024-03-22,212796.53246
2026-02-27,Statement 1,3.9.2,Public Financial Institutions (PFIs),3,False,3.9,Statement 1,2025-01-24,219865.522192
2026-02-27,Statement 1,3.9.2,Public Financial Institutions (PFIs),3,False,3.9,Statement 1,2025-03-21,228678.443837
